listing_id,total_reviews,avg_rating
1,53,4.84
2,95,4.54
3,35,4.85
4,15,4.77
5,16,4.86
6,196,4.35
7,122,4.85
8,162,4.5
9,31,4.83
10,130,4.87
11,188,4.3
12,7,4.2
13,221,4.49
14,164,4.84
15,70,4.89
16,19,4.56
17,1,4
18,25,4.8
19,152,4.78
20,268,4.79
21,578,4.88
22,374,4.91
23,917,4.88
24,253,4.86
25,31,4.9
26,136,4.48
27,113,4.76
28,12,4.58
29,7,3.29
30,14,4.62
31,6,4.2
32,26,4.54
33,723,4.87
34,279,4.59
35,24,4.91
36,164,4.22
37,69,4.78
38,504,4.73
39,18,4.83
40,35,4.91
41,16,4.5
42,126,4.74
43,229,4.62
44,168,4.91
45,128,4.91
46,23,4.74
47,94,4.83
48,56,4.44
49,435,4.94
50,10,4.2
51,430,4.58
52,188,4.81
53,268,4.75
54,45,4.42
55,30,4.43
56,286,4.78
57,16,4.69
58,494,4.75
59,75,
60,180,4.89
61,134,4.94
62,350,4.77
63,433,4.92
64,74,4.89
65,268,4.91
66,22,4.3
67,3,
68,125,4.94
69,66,4.46
70,423,4.9
71,86,4.86
72,23,4.73
73,125,4.92
74,16,4.88
75,16,4.92
76,26,4.76
77,143,4.37
78,191,4.91
79,148,4.93
80,26,4.85
81,25,4.88
82,35,4.18
83,151,4.85
84,23,4.83
85,9,4.67
86,9,4.78
87,97,4.9
88,60,4.62
89,148,4.42
90,164,4.4
91,93,4.65
92,345,4.87
93,10,4.78
94,130,4.73
95,41,4.88
96,441,4.76
97,410,4.57
98,346,4.89
99,14,4.79
100,19,4.79
101,70,
102,302,4.5
103,5,4.4
104,176,4.94
105,144,4.86
106,23,4.87
107,158,4.97
108,64,4.78
109,127,4.7
110,392,4.72
111,609,4.93
112,57,4.43
113,15,4.73
114,65,4.68
115,19,4.74
116,13,4.92
117,600,4.89
118,272,4.71
119,309,4.95
120,91,4.96
121,557,4.9
122,36,4.74
123,147,4.77
124,167,
125,209,4.81
126,18,4.88
127,272,4.85
128,2,5
129,60,4.6
130,104,4.93
131,229,4.9
132,24,4.92
133,176,4.93
134,93,4.72
135,53,4.87
136,38,4.92
137,91,4.79
138,18,4.56
139,42,4.88
140,448,4.9
141,384,4.9
142,126,4.41
143,3,4.67
144,270,4.54
145,20,4.6
146,406,4.84
147,505,4.74
148,422,4.85
149,193,4.81
150,17,4.76
151,44,4.88
152,417,4.88
153,21,4.33
154,104,4.85
155,1,5
156,170,4.55
157,10,4.9
158,1,5
159,54,4.31
160,842,4.67
161,356,4.95
162,53,4.87
163,65,4.77
164,31,4.97
165,336,4.85
166,233,4.74
167,48,4.91
168,302,4.86
169,15,4.5
170,247,
171,36,4.75
172,546,4.92
173,7,5
174,116,4.86
175,4,3
176,422,4.91
177,17,5
178,7,4.86
179,26,4.88
180,58,4.79
181,32,4.94
182,43,4.71
183,129,4.83
184,37,4.92
185,66,4.89
186,93,4.88
187,85,4.93
188,459,4.85
189,75,4.61
190,123,4.85
191,134,4.8
192,533,4.86
193,64,4.3
194,420,4.88
195,92,4.87
196,38,4.94
197,194,4.87
198,53,4.47
199,247,4.85
200,377,4.94
201,339,4.85
202,286,4.76
203,35,4.97
204,618,4.92
205,597,4.93
206,236,4.85
207,333,4.63
208,89,4.96
209,264,4.81
210,262,4.85
211,114,4.98
212,61,4.8
213,1,5
214,73,4.47
215,13,4.92
216,15,4.93
217,212,4.83
218,42,4.76
219,36,4.61
220,1,5
221,134,5
222,219,4.48
223,95,4.93
224,16,4.81
225,11,4.3
226,26,5
227,65,4.76
228,187,4.87
229,49,4.92
230,40,4.9
231,1,5
232,1,4
233,1,4
234,160,4.83
235,366,4.87
236,151,4.64
237,453,4.89
238,635,4.84
239,132,4.9
240,3,5
241,18,4.44
242,315,4.8
243,64,4.72
244,462,4.5
245,95,4.53
246,108,4.79
247,233,4.76
248,72,4.77
249,15,4.87
250,71,4.96
251,381,4.93
252,39,4.53
253,21,4.86
254,2,3.5
255,59,4.86
256,119,4.92
257,30,4.27
258,343,4.78
259,202,4.79
260,253,4.76
261,53,4.89
262,2,4
263,13,4.77
264,370,4.91
265,22,4.41
266,54,4.91
267,3,4.67
268,27,4.7
269,143,4.86
270,68,4.47
271,54,4.54
272,168,4.92
273,45,4.95
274,679,4.92
275,338,4.77
276,339,4.72
277,35,4.51
278,109,4.81
279,43,4.47
280,33,4.55
281,42,4.79
282,163,4.95
283,129,4.7
284,10,4.89
285,246,4.93
286,38,4.89
287,194,4.82
288,228,4.82
289,236,4.76
290,99,4.8
291,177,4.85
292,65,5
293,278,4.75
294,6,5
295,94,4.96
296,64,4.62
297,242,4.81
298,245,4.87
299,214,4.94
300,56,4.48
301,112,4.87
302,206,4.97
303,92,4.87
304,323,4.53
305,559,4.76
306,147,4.95
307,254,4.92
308,131,4.91
309,181,4.74
310,135,4.86
311,104,4.6
312,69,4.77
313,185,4.84
314,2,5
315,37,4.7
316,58,4.74
317,21,4.95
318,19,4.93
319,54,4.66
320,97,4.84
321,6,4.83
322,5,4.6
323,3,4.33
324,1,5
325,2,
326,479,4.9
327,2,4
328,27,4.36
329,17,4.53
330,242,4.96
331,14,4.93
332,68,4.84
333,10,4.3
334,21,4.9
335,10,4.8
336,79,4.89
337,300,4.75
338,11,
339,136,4.9
340,58,4.79
341,51,4.96
342,44,4.91
343,189,4.78
344,85,4.89
345,22,5
346,13,4.92
347,286,4.88
348,490,4.96
349,261,4.97
350,55,4.96
351,59,4.78
352,74,4.86
353,129,4.91
354,89,4.97
355,402,4.86
356,9,4.22
357,145,4.92
358,98,4.96
359,1,5
360,330,4.92
361,57,4.6
362,65,4.88
363,322,4.98
364,153,4.88
365,478,4.81
366,297,4.95
367,53,4.65
368,55,4.87
369,116,4.56
370,38,4.97
371,275,4.92
372,13,4.58
373,25,4.76
374,304,4.79
375,78,4.88
376,285,4.95
377,41,4.95
378,148,4.82
379,112,4.94
380,415,4.89
381,14,4.71
382,20,5
383,216,4.89
384,320,4.78
385,360,4.78
386,18,4.83
387,27,4.96
388,2,5
389,3,4
390,55,4.78
391,1,5
392,5,5
393,260,4.97
394,14,4.77
395,35,4.94
396,277,4.92
397,491,4.93
398,84,4.68
399,15,4.8
400,49,4.84
401,46,4.59
402,322,4.97
403,11,4.6
404,1,4
405,3,3.33
406,70,4.97
407,26,4.81
408,87,4.99
409,10,5
410,11,4.91
411,12,5
412,8,5
413,172,4.91
414,369,4.93
415,11,5
416,432,4.88
417,9,4.67
418,29,4.9
419,3,4.5
420,90,4.84
421,1,4
422,217,4.79
423,187,4.95
424,13,4.38
425,21,4.95
426,1,5
427,47,4.89
428,78,4.73
429,567,4.76
430,3,4.67
431,1,3
432,157,4.88
433,117,4.62
434,293,4.94
435,2,4
436,17,4.29
437,199,4.92
438,219,4.84
439,203,4.7
440,27,4.85
441,45,4.93
442,6,5
443,63,4.75
444,72,4.86
445,5,5
446,496,4.94
447,142,4.84
448,302,4.85
449,94,4.99
450,6,4.83
451,33,4.94
452,113,4.88
453,6,4
454,24,4.63
455,106,4.8
456,20,4.85
457,9,4.78
458,395,4.91
459,31,4.97
460,1,4
461,99,4.88
462,182,4.65
463,1,4
464,71,4.59
465,33,5
466,4,5
467,275,4.95
468,6,4.67
469,139,4.76
470,2,5
471,2,5
472,303,4.82
473,158,4.4
474,151,4.42
475,102,4.82
476,162,
477,16,4.86
478,40,4.8
479,614,4.7
480,158,4.96
481,6,4.83
482,2,5
483,37,4.84
484,31,4.8
485,28,4.96
486,70,4.63
487,169,4.92
488,9,4.75
489,90,4.55
490,236,4.9
491,32,4.83
492,415,4.92
493,240,4.77
494,51,4.96
495,192,4.84
496,307,4.89
497,16,4.31
498,542,4.81
499,73,4.89
500,211,4.98
501,6,4.83
502,1,5
503,129,4.36
504,3,5
505,231,4.73
506,59,4.49
507,154,4.67
508,3,4
509,204,4.96
510,42,5
511,1,5
512,3,3.33
513,4,
514,5,4.4
515,102,4.71
516,251,4.78
517,216,4.87
518,5,4.8
519,4,5
520,200,4.84
521,197,4.91
522,2,5
523,49,4.96
524,1,5
525,244,4.9
526,286,4.9
527,181,4.92
528,45,4.98
529,211,4.89
530,26,4.77
531,5,
532,35,4.83
533,135,4.7
534,135,4.93
535,184,4.91
536,18,5
537,183,4.84
538,43,4.83
539,55,4.7
540,96,4.3
541,34,4.79
542,111,4.93
543,268,4.71
544,76,4.88
545,104,4.87
546,260,4.88
547,68,4.81
548,41,4.98
549,295,4.72
550,72,4.83
551,47,5
552,12,4.83
553,45,4.91
554,265,
555,13,4.85
556,1,5
557,121,4.79
558,7,4.43
559,1,5
560,1,5
561,150,4.86
562,485,4.93
563,238,4.97
564,5,4.8
565,4,5
566,3,4.67
567,7,4.71
568,7,4.57
569,15,4.85
570,15,4.64
571,12,4.67
572,162,4.95
573,21,4.86
574,96,4.74
575,121,4.69
576,137,4.94
577,6,5
578,1,5
579,18,4.56
580,11,4.6
581,13,4.92
582,484,4.93
583,541,4.93
584,84,4.93
585,397,4.71
586,100,4.98
587,3,5
588,25,4.96
589,17,4.71
590,9,4.25
591,1,4
592,29,4.97
593,1,5
594,392,4.94
595,152,4.8
596,481,4.94
597,35,4.24
598,5,5
599,237,4.83
600,174,4.91
601,106,4.93
602,34,5
603,10,4.89
604,218,4.82
605,7,4
606,6,5
607,16,4.81
608,1,5
609,3,5
610,299,4.89
611,5,4.8
612,8,4.75
613,1,5
614,418,4.84
615,1,5
616,143,4.76
617,175,4.98
618,71,4.9
619,10,4.8
620,30,4.9
621,65,5
622,303,4.92
623,250,4.76
624,8,4.88
625,6,4.67
626,15,5
627,161,4.88
628,12,4.5
629,37,4.73
630,186,4.96
631,76,4.99
632,184,4.98
633,149,4.79
634,118,4.97
635,28,4.82
636,126,4.61
637,42,4.9
638,29,4.97
639,97,4.92
640,28,5
641,101,4.99
642,99,4.76
643,6,4.8
644,21,4.89
645,19,4.95
646,10,4.78
647,52,4.94
648,34,4.68
649,442,4.98
650,2,5
651,4,5
652,7,5
653,8,5
654,9,4.67
655,252,4.98
656,325,4.83
657,31,4.87
658,67,4.7
659,604,4.79
660,183,4.54
661,77,4.6
662,62,4.66
663,329,4.87
664,534,4.93
665,188,4.66
666,101,4.4
667,17,4.75
668,256,4.91
669,68,4.76
670,9,4.71
671,3,5
672,2,4.5
673,63,4.7
674,90,4.69
675,232,4.85
676,33,4.58
677,104,4.53
678,75,4.36
679,42,4.93
680,134,4.78
681,23,5
682,60,4.93
683,41,4.49
684,134,4.87
685,74,4.66
686,271,4.77
687,3,5
688,200,4.95
689,261,4.78
690,79,4.95
691,45,4.91
692,237,4.97
693,48,4.96
694,133,4.52
695,218,4.95
696,67,4.93
697,60,4.97
698,318,4.99
699,269,4.75
700,297,4.79
701,459,4.86
702,439,4.74
703,187,4.67
704,160,4.88
705,88,4.99
706,249,4.87
707,96,4.88
708,19,4.83
709,152,4.53
710,43,4.79
711,3,5
712,159,4.87
713,44,4.91
714,160,4.82
715,390,4.77
716,129,4.81
717,94,4.73
718,290,4.68
719,18,4.94
720,55,4.67
721,24,4.43
722,3,5
723,157,4.9
724,5,3.2
725,4,5
726,77,4.7
727,243,4.84
728,127,4.61
729,80,4.75
730,174,4.68
731,186,4.82
732,14,5
733,371,4.78
734,4,5
735,79,4.75
736,601,4.89
737,92,4.57
738,294,4.95
739,13,5
740,52,4.88
741,110,4.78
742,324,4.87
743,6,5
744,206,4.81
745,185,4.67
746,443,4.8
747,7,4.71
748,399,4.97
749,13,4.92
750,104,4.9
751,130,5
752,144,4.81
753,114,4.81
754,48,4.98
755,55,4.91
756,82,4.48
757,61,4.87
758,472,4.82
759,30,4.83
760,54,4.85
761,8,5
762,85,4.46
763,368,4.91
764,193,4.94
765,156,4.92
766,3,5
767,6,5
768,214,4.86
769,217,4.8
770,251,4.89
771,176,4.86
772,1,5
773,1,5
774,264,4.9
775,3,5
776,44,4.93
777,183,4.55
778,1,3
779,10,5
780,156,4.98
781,68,4.47
782,60,4.88
783,248,4.81
784,199,4.87
785,48,4.98
786,284,4.88
787,18,4.94
788,3,3.67
789,25,4.68
790,51,4.94
791,53,4.98
792,264,4.92
793,3,5
794,2,5
795,141,4.96
796,10,4.67
797,238,4.88
798,6,5
799,324,4.93
800,193,4.94
801,573,4.84
802,306,5
803,446,4.86
804,139,4.53
805,238,4.65
806,16,4.88
807,312,4.87
808,1,5
809,18,4.89
810,183,4.78
811,4,4.75
812,36,4.77
813,4,5
814,96,4.98
815,7,4.67
816,36,5
817,89,4.83
818,11,5
819,231,4.76
820,52,4.85
821,6,4.67
822,241,4.85
823,221,4.88
824,12,4.42
825,6,5
826,542,4.95
827,191,4.95
828,1,5
829,70,4.8
830,73,4.96
831,15,4.4
832,38,4.77
833,28,4.54
834,2,5
835,6,5
836,224,4.93
837,183,4.68
838,106,4.74
839,4,5
840,5,5
841,4,4.75
842,294,4.78
843,102,4.79
844,123,4.67
845,138,4.69
846,71,4.56
847,118,4.5
848,1,3
849,5,4.8
850,21,4.75
851,104,4.59
852,82,4.54
853,94,4.51
854,54,4.56
855,37,4.57
856,63,4.77
857,208,4.79
858,86,4.92
859,249,4.86
860,3,5
861,284,4.99
862,298,4.81
863,95,4.67
864,6,4.8
865,54,4.56
866,16,4.94
867,34,4.74
868,228,4.96
869,110,4.66
870,66,4.89
871,265,4.99
872,16,4.38
873,49,4.53
874,175,4.91
875,106,4.87
876,2,5
877,289,4.83
878,191,4.68
879,144,4.88
880,146,4.86
881,118,4.43
882,72,4.99
883,107,4.8
884,18,4.56
885,144,4.94
886,2,5
887,86,4.87
888,95,4.77
889,302,4.89
890,2,5
891,74,4.93
892,1,4
893,163,4.91
894,9,4.78
895,25,4.84
896,139,4.58
897,345,4.52
898,34,4.91
899,183,4.84
900,15,4.6
901,225,4.54
902,221,4.72
903,319,4.92
904,55,4.96
905,2,4.5
906,251,4.92
907,254,4.78
908,34,4.94
909,1,5
910,6,3.83
911,35,4.29
912,249,4.85
913,372,4.94
914,72,4.9
915,4,5
916,191,4.92
917,14,5
918,52,4.88
919,10,4.7
920,6,5
921,14,4.29
922,349,4.95
923,129,4.64
924,99,4.8
925,122,4.85
926,16,4.81
927,204,4.96
928,1,5
929,16,4.69
930,12,4.67
931,1,4
932,14,4.14
933,47,4.28
934,165,4.99
935,26,4.31
936,383,4.9
937,222,4.89
938,78,4.95
939,4,3.75
940,223,4.6
941,36,4.81
942,153,4.82
943,159,4.94
944,7,4.86
945,11,5
946,4,4.5
947,25,4.44
948,138,4.9
949,87,4.94
950,311,4.42
951,24,4.83
952,240,4.78
953,16,4.75
954,209,4.75
955,227,4.7
956,2,5
957,241,4.63
958,84,4.72
959,295,4.93
960,14,4.92
961,1,5
962,3,5
963,69,4.9
964,14,4.69
965,238,4.88
966,44,4.5
967,2,5
968,14,4.79
969,287,4.91
970,17,4.82
971,304,4.85
972,282,4.91
973,8,4.88
974,37,4.94
975,5,4.8
976,4,5
977,20,4.95
978,10,5
979,32,4.63
980,26,4.68
981,133,4.59
982,118,4.55
983,161,4.62
984,330,4.9
985,10,4.8
986,175,4.48
987,170,4.73
988,106,5
989,82,4.73
990,2,5
991,160,4.82
992,20,4.45
993,39,4.77
994,1,5
995,315,4.89
996,3,5
997,125,4.96
998,252,4.78
999,138,4.75
1000,46,4.93
1001,395,4.95
1002,1,5
1003,46,4.96
1004,105,4.8
1005,2,5
1006,48,4.65
1007,50,4.88
1008,67,4.99
1009,90,4.96
1010,313,4.67
1011,357,4.67
1012,309,4.64
1013,442,4.53
1014,370,4.78
1015,157,4.92
1016,99,4.94
1017,74,4.68
1018,112,4.46
1019,221,4.92
1020,182,4.82
1021,288,4.99
1022,1,5
1023,137,4.82
1024,1,5
1025,10,4.4
1026,66,4.56
1027,52,4.94
1028,120,4.87
1029,280,4.84
1030,11,5
1031,61,4.57
1032,147,4.93
1033,4,4
1034,65,4.82
1035,66,4.56
1036,14,4.43
1037,79,4.65
1038,1,1
1039,329,4.74
1040,179,4.64
1041,159,4.95
1042,5,5
1043,29,5
1044,363,4.69
1045,96,4.88
1046,6,5
1047,1,5
1048,8,4.88
1049,211,4.92
1050,34,4.82
1051,134,4.78
1052,60,4.8
1053,4,2.75
1054,14,4.57
1055,4,5
1056,55,4.91
1057,57,4.77
1058,14,4.5
1059,155,4.77
1060,1,4
1061,2,4.5
1062,181,4.86
1063,38,4.7
1064,263,4.91
1065,133,4.89
1066,3,5
1067,44,4.73
1068,64,4.55
1069,245,4.96
1070,32,4.69
1071,194,4.84
1072,249,4.89
1073,72,4.82
1074,58,4.43
1075,38,4.91
1076,168,4.91
1077,121,4.97
1078,228,4.68
1079,3,5
1080,86,4.98
1081,7,5
1082,239,4.93
1083,150,4.77
1084,2,5
1085,40,4.98
1086,247,4.84
1087,20,4.35
1088,41,4.83
1089,72,4.88
1090,207,4.95
1091,199,4.88
1092,43,4.58
1093,6,5
1094,114,4.49
1095,105,4.74
1096,125,4.54
1097,143,4.66
1098,62,4.87
1099,4,4.25
1100,37,4.95
1101,14,4.93
1102,107,4.83
1103,11,5
1104,15,4.87
1105,87,4.97
1106,7,4.71
1107,81,4.83
1108,9,4.5
1109,6,4.33
1110,6,4.67
1111,11,4.82
1112,10,4.33
1113,400,4.97
1114,191,4.79
1115,82,4.9
1116,33,4.52
1117,40,4.55
1118,2,5
1119,69,4.25
1120,6,4.33
1121,11,4.64
1122,7,4.33
1123,16,4.5
1124,13,4.23
1125,149,4.97
1126,113,4.97
1127,1,5
1128,154,4.4
1129,42,4.95
1130,54,4.74
1131,56,4.77
1132,24,4.57
1133,147,4.88
1134,2,3.5
1135,103,4.87
1136,116,4.91
1137,206,4.8
1138,131,4.94
1139,7,4.86
1140,158,4.7
1141,101,4.94
1142,131,4.69
1143,160,4.97
1144,90,4.99
1145,201,4.93
1146,19,3.93
1147,36,4.97
1148,37,4.92
1149,99,4.9
1150,60,4.95
1151,166,4.95
1152,10,4.9
1153,32,4.91
1154,223,4.95
1155,4,5
1156,22,4.95
1157,100,4.67
1158,39,5
1159,83,4.71
1160,3,5
1161,1,5
1162,110,5
1163,115,4.92
1164,187,4.91
1165,165,4.91
1166,2,5
1167,354,4.9
1168,42,4.98
1169,21,4.79
1170,288,4.92
1171,240,4.88
1172,246,4.78
1173,210,4.86
1174,90,4.72
1175,359,4.56
1176,29,4.9
1177,443,4.87
1178,1,5
1179,18,4.44
1180,16,4.63
1181,52,4.44
1182,17,4.71
1183,139,4.83
1184,123,4.81
1185,137,4.88
1186,252,4.91
1187,153,
1188,52,
1189,12,
1190,35,4.66
1191,92,4.91
1192,122,4.76
1193,8,5
1194,11,4.36
1195,6,4.33
1196,36,4.8
1197,1,4
1198,29,5
1199,86,4.93
1200,143,4.94
1201,113,5
1202,4,3.33
1203,135,4.88
1204,2,5
1205,93,4.75
1206,2,5
1207,2,5
1208,95,4.58
1209,32,4.87
1210,244,4.98
1211,5,4.6
1212,176,4.91
1213,9,5
1214,243,4.96
1215,7,3.6
1216,51,4.94
1217,70,4.74
1218,236,4.82
1219,162,4.59
1220,37,4.78
1221,17,5
1222,134,4.68
1223,28,5
1224,261,4.8
1225,15,4.67
1226,2,3.5
1227,1,4
1228,28,4.96
1229,13,4.77
1230,15,4.8
1231,116,4.56
1232,123,4.76
1233,69,4.91
1234,62,4.87
1235,63,4.95
1236,38,4.95
1237,146,4.93
1238,186,4.99
1239,2,5
1240,22,4.82
1241,1,3
1242,2,5
1243,172,4.83
1244,26,4.65
1245,79,4.89
1246,85,
1247,246,
1248,100,4.88
1249,101,4.96
1250,300,4.73
1251,75,4.9
1252,152,4.93
1253,113,4.92
1254,31,4.97
1255,154,4.88
1256,186,4.79
1257,133,4.9
1258,11,4.82
1259,10,4.9
1260,7,5
1261,154,4.79
1262,396,4.78
1263,407,4.82
1264,372,4.78
1265,75,4.63
1266,12,4.33
1267,141,4.96
1268,2,4.5
1269,1,5
1270,95,4.73
1271,69,4.99
1272,7,4.57
1273,181,4.76
1274,324,4.82
1275,270,4.95
1276,104,4.78
1277,86,4.84
1278,133,4.71
1279,31,4.81
1280,129,4.95
1281,75,4.73
1282,6,4.83
1283,20,4.8
1284,144,4.89
1285,27,4.96
1286,314,4.97
1287,197,4.78
1288,19,4.95
1289,82,4.77
1290,178,4.97
1291,9,5
1292,181,4.96
1293,7,4.71
1294,69,4.35
1295,1,1
1296,80,4.84
1297,42,4.86
1298,58,4.98
1299,115,4.95
1300,89,4.82
1301,19,4.89
1302,29,4.79
1303,12,5
1304,9,4.56
1305,14,4.71
1306,44,4.8
1307,8,4
1308,6,4.83
1309,21,4.62
1310,161,4.95
1311,170,4.91
1312,11,4.45
1313,3,4
1314,4,4.25
1315,4,3.5
1316,3,3.67
1317,12,4.7
1318,186,4.9
1319,110,4.91
1320,341,
1321,1,4
1322,20,4.68
1323,196,4.35
1324,55,4.42
1325,90,4.87
1326,73,4.79
1327,20,5
1328,232,4.96
1329,10,4.6
1330,132,4.8
1331,1,4
1332,7,5
1333,5,4.8
1334,1,4
1335,6,4.67
1336,28,4.68
1337,5,4.6
1338,23,4.3
1339,16,4.25
1340,10,3.9
1341,111,4.91
1342,90,4.94
1343,124,4.72
1344,133,4.72
1345,124,4.85
1346,110,4.65
1347,108,4.74
1348,154,4.73
1349,244,4.65
1350,164,4.77
1351,1,5
1352,181,4.89
1353,42,4.95
1354,87,4.77
1355,16,4.63
1356,124,4.78
1357,172,4.91
1358,59,4.93
1359,2,3
1360,360,4.85
1361,123,4.97
1362,68,4.79
1363,121,
1364,6,
1365,50,4.84
1366,90,4.93
1367,17,4.81
1368,2,5
1369,53,4.98
1370,102,4.97
1371,192,4.92
1372,32,4.9
1373,117,4.91
1374,8,4.13
1375,161,5
1376,215,4.98
1377,2,4
1378,2,5
1379,1,4
1380,148,4.97
